CWEU,71917,EUREKA_(WS3),valid,00:00,Dec,19,2018
PRES,HEIGHT,THICK,HEIGHT,TEMP,SPRED,THETAW,RELHUM,WINDDIR,WINDSPEED,STABILITY
(MB),(M),(M),FT*100,(C),(C),(C),PRCNT,DEG,KTS,ANAL
1018,10,-1,0,-39.9,3.8,-42.0,64
1002,119,109,4,-35.7,4.0,-36.5,63
1000,125, 6,4,-35.1,4.0,-35.7,63,285, 1,INV
 981,260,135,9,-29.7,3.7,-29.0,67, -1,-1 ,INV
 957,439,179,14,-22.7,7.0,-20.8,49, -1,-1 ,INV
 953,470,31,15,-21.5,6.0,-19.4,55, -1,-1 ,INV
 939,579,109,19,-21.1,7.0,-18.2,49, -1,-1 ,INV
 925,708,129,23,-20.9,7.0,-17.1,49,315, 4,INV
 903,886,178,29,-21.7,8.0,-16.4,44, -1,-1 ,STB
 896,943,57,31,-21.9,8.0,-16.1,44, -1,-1 ,STB
 850,1329,386,44,-20.3,12.0,-11.8,29,355,19,INV
 844,1381,52,45,-20.1,13.0,-11.3,26, -1,-1 ,INV
 781,1954,573,64,-21.7,17.0,-8.4,16, -1,-1 ,STB
 742,2331,377,76,-21.5,20.0,-5.6,12, -1,-1 ,INV
 700,2750,419,90,-22.7,21.0,-3.5,10,355,30,STB
 661,3169,419,104,-24.1,26.0,-1.7,5, -1,-1 ,STB
 500,5140,1971,169,-38.7,15.0,1.5,16,360,41,STB
 400,6650,1510,218,-47.9,12.0,4.9,20,360,40,STB
 300,8490,1840,279,-59.3,11.0,9.0,19,350,32,STB
 295,8595,105,282,-59.7,11.0,9.4,19,350,32,STB
 255,9511,916,312,-57.3,11.0,15.5,20, -1,-1 ,INV
 250,9630,119,316,-58.1,11.0,15.7,20,350,22,STB
 238,9939,309,326,-59.3,12.0,16.6,16, -1,-1 ,STB
 200,11040,1101,362,-57.1,19.0,22.1,5,330,22,INV
 182,11640,600,382,-54.9,21.0,25.0,4, -1,-1 ,INV
 150,12870,1230,422,-57.1,24.0,28.1,2,305,13,STB
 140,13306,436,437,-57.5,25.0,29.3,2, -1,-1 ,STB
 131,13727,421,450,-56.3,27.0,30.8,1, -1,-1 ,INV
 119,14335,608,470,-57.7,28.0,32.0,1, -1,-1 ,STB
 102,15310,975,502,-56.7,31.0,34.6,1, -1,-1 ,INV
 101,15372,62,504,-56.5,31.0,34.8,1, -1,-1 ,INV
 100,15430,58,506,-56.5,31.0,35.0,1,300,20,INV
70.0,17710,2280,581,-53.3,32.0,40.1,1,300,41,INV
50.0,19900,2190,653,-48.5,33.0,39.2,1,305,64,INV
46.6,20364,464,668,-48.1,33.0,37.2,1, -1,-1 ,INV
38.3,21652,1288,710,-49.9,32.0,29.3,1, -1,-1 ,STB
34.2,22396,744,735,-47.7,33.0,16.3,1, -1,-1 ,INV
30.4,23168,772,760,-51.3,32.0,8.7,1, -1,-1 ,STB
30.0,23250,82,763,-50.9,32.0,5.9,1,305,74,INV
25.7,24262,1012,796,-48.9,33.0,-30.7,1, -1,-1 ,INV
20.3,25800,1538,846,-52.1,32.0,-92.0,1, -1,-1 ,STB
20.0,25900,100,850,-51.5,32.0,-102.0,1,300,88,INV
16.3,27238,1338,894,-48.3,33.0,-259.0,1, -1,-1 ,INV
15.4,27611,373,906,-49.9,32.0,-286.0,1, -1,-1 ,STB
13.2,28629,1018,939,-45.3,34.0,-543.0,1, -1,-1 ,INV
13.1,28680,51,941,-45.3,34.0,-554.0,1, -1,-1 ,INV
10.0,30470,1790,1000,-48.3,33.0,-968.0,1,315,137,STB
 9.6,30740,270,1009,-46.9,34.0,-1122.0,1, -1,-1 ,INV
 7.4,32448,1708,1065,-51.3,32.0,-1724.0,1, -1,-1 ,STB
 7.1,32718,270,1073,-48.7,33.0,-2060.0,1, -1,-1 ,INV
 7.0,32800,82,1076,-49.5,33.0,-2066.0,1,320,152,STB
